year,state,join,state_po,state_fips,state_cen,state_ic,office,totalvotes,dempercentvotes,reppercentvotes,demadvantage,version,notes
2020,OREGON,2020OR,OR,41,92,72,US PRESIDENT,2374321,56.45%,40.37%,16.09%,20210113,NA
2020,PENNSYLVANIA,2020PA,PA,42,23,14,US PRESIDENT,6915283,50.01%,48.84%,1.16%,20210113,NA
2020,RHODE ISLAND,2020RI,RI,44,15,5,US PRESIDENT,516990,59.48%,38.67%,20.81%,20210113,NA
2020,SOUTH CAROLINA,2020SC,SC,45,57,48,US PRESIDENT,2514096,43.42%,55.09%,-11.68%,20210113,NA
2020,SOUTH DAKOTA,2020SD,SD,46,45,37,US PRESIDENT,422609,35.61%,61.77%,-26.16%,20210113,NA
2020,TENNESSEE,2020TN,TN,47,62,54,US PRESIDENT,3053851,37.45%,60.66%,-23.21%,20210113,NA
2020,TEXAS,2020TX,TX,48,74,49,US PRESIDENT,11315056,46.48%,52.06%,-5.58%,20210113,NA
2020,UTAH,2020UT,UT,49,87,67,US PRESIDENT,1488289,37.65%,58.13%,-20.48%,20210113,NA
2020,VERMONT,2020VT,VT,50,13,6,US PRESIDENT,370968,65.46%,30.38%,35.07%,20210113,NA
2020,VIRGINIA,2020VA,VA,51,54,40,US PRESIDENT,4460524,54.11%,44.00%,10.11%,20210113,NA
2020,WASHINGTON,2020WA,WA,53,91,73,US PRESIDENT,4087631,57.97%,38.77%,19.20%,20210113,NA
2020,WEST VIRGINIA,2020WV,WV,54,55,56,US PRESIDENT,794652,29.70%,68.63%,-38.94%,20210113,NA
2020,WISCONSIN,2020WI,WI,55,35,25,US PRESIDENT,3298041,49.45%,48.82%,0.63%,20210113,NA
2020,WYOMING,2020WY,WY,56,83,68,US PRESIDENT,278503,26.39%,69.50%,-43.11%,20210113,NA
